"index","工作內容"
1,"尋找有潛力的網路主播、協助培訓主播

1. 互動能力強，個性要鮮明
2. 有獨門技藝，歡迎街頭藝人參與
3. 要堅持韌性，經營粉絲
4. 態度積極，不畏人群，口語表達能力佳
5. 對手機直播有興趣者佳"
2,"【工作主要內容】
1. 網路電商平台Banner/商品圖/粉絲團/社群活動圖文美編設計
2. 修圖/LAYOUT排版 
3. 平面文宣/海報/輸出物設計製作
4. 會基礎商品攝影者佳

歡迎夜校生或二度就業者應徵  

【徵才條件】
(1) 個性具有創意 | 態度積極 | 認真專注細心 | 有責任感 | 抗壓性高 | 工作執行能力佳 | 穩定性高 | 理解溝通能力佳者為優先考量人選。 
(2) 需具美編設計能力，熟練Photoshop、Illustrator軟體 
(3) 具電商/社群美編或相關操作經驗者、具有設計熱忱者尤佳
(4) 可每週來3天者加分/優先考慮


***請於投遞履歷時附上作品集***
***面試時也請攜帶美編作品集***"
3,"適合熱愛設計、有志成為設計師者蹲馬步練基本功，協助設計師執行設計案，本科系畢、有印刷概念者"
4,"1.協助電繪、描圖；圖片、相片的修整、加工、排版等工作。
2.擅用繪圖軟體(CDR、PS、CS3 )。
3.完成主管交付之任務。
4.電話接聽。"
5,"1.開發招募素人直播主、網紅直播主
2.負責與直播主洽談溝通
3.發展直播主個人特色
4.執行直播主培訓作業-直播相關技巧、app功能教導等
5.直播主日常關懷-工作進度關懷、活動資訊傳達、B2B工作邀約等
6.完成主管交付臨時工作，及提高主播的整體數量與質量。
"
6,"工作時間

週一到週五, 17:00-21:00/ 13:00-17:00 兩個時段可選, 每日四小時

工作內容

這項職務，負責的工作內容有：

．熟悉電腦及網路操作
．修圖美化與設計編排
．公司網站, 蝦皮更新
  *拍攝商品, 修圖, 用手機即可
偶爾會有影片剪輯的需求, 需使用PR, 假設不會操作, 可來了再學

需有基礎英文能力, 因為原廠很多樂器目錄都只有英文介紹

待遇會以月薪16000元計算, 如時間無法配合可鐘點計算, 時薪170-250元 
因為上班是在封閉式的辦公室, 所以沒有辦法抽煙,

我們是一間小公司, 所以偶爾會有一些行政雜物需要幫忙, 但比例非常低

如果在學中的學生, 請確定上班時間可配合, 但如果有差一天要, 時間上要調班也可以, 

請先在104上投履歷, 感謝!

(不考慮案件外包)

面試時會需要現場試作

上班過試用期後, 公司會發制服, 需自備黑皮鞋 
履歷中請附作品, 讓我們可先了解你美工設計風格
"
7,"1.將設計概念具體化，成為插圖或是商品包裝等。
2.調整產品的設計外觀及實際功能。
3.開發圖形、產品插圖及公司標識。
4.設計網站版面的編排。
1.設計製作平面文宣、海報和DM。
2.規劃商品包裝的設計理念，並進行提案。
3.修改並執行其設計理念。
4.設計公司整體CI（企業形象識別）。
5.進行期刊書籍的圖文編輯。"
8,"我們想要延聘一位擅長文書處理編輯的兼職人員，最好能夠協助潤飾中文。若合作愉快，可轉正職。時薪200-300元，可議，每年如果在新台幣18萬元內，將以稿費支付，免所得稅。

注意：請另外寄一份您的履歷檔案給我們（最好 Word 和 pdf 檔案一式兩份），和您編輯過或自己寫的文字給我們（Email: allenli.ati@gmail.com）。如果合適，我們將聯絡您面談。
"
9,"1.將設計概念具體化，成為插圖或是商品包裝等。
2.調整產品的設計外觀及實際功能。
3.開發圖形、產品插圖及公司標識。
4.設計網站版面的編排。
1.設計製作平面文宣、海報和DM。
2.規劃商品包裝的設計理念，並進行提案。
3.修改並執行其設計理念。
4.設計公司整體CI（企業形象識別）。
5.進行期刊書籍的圖文編輯。"
10,"1.論件計酬,抽成高.
2.不須上下班打卡,工作時間彈性.
3.診所提供銷售及醫美專業知識之教育訓練.
4.享有員工優惠價.
5.歡迎對醫美有熱誠的您的加入,無經驗亦可. "
11,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

https://www.dreamermagic.com/

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

#工作內容： 
◆ 影片/節目製作行銷 
　 1. 微電影/短片製作 
　 2. 節目企劃製作 
　 3. 網路直播節目企劃 
     4.平面照片修改"
12,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

#工作內容： 
◆ 影片/節目製作行銷 
　 1. 微電影/短片製作 
　 2. 節目企劃製作 
　 3. 網路直播節目企劃 
     4.平面照片修改
https://www.dreamermagic.com/"
13,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
14,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
15,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
16,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
17,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
18,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
19,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
20,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
21,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
22,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
23,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
24,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
25,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
26,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
27,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
28,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

1.喜愛創意和樂於設計者優先錄取。
2.具實務工作經驗，細心、專業、積極。
3.具時間管理獨立作業能力，能全心投入設計工作。
4.您若是設計相關的夜校學生，有相關工作經驗且對平面設計有很大興趣者，歡迎來應徵!我們願意培訓你!
5.您必需設計本科系，請註明高中和大學就讀科系，附上您的簡介和作品，讓我們快速認識你、挖掘你!
6.具品牌概念與執行、形象設計經驗
7.需有良好美感與設計思考能力


https://www.dreamermagic.com/"
29,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心 
同事年輕活力有朝氣 

https://www.dreamermagic.com/

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。 

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

工作內容:
家庭日、運動會、廠慶、研討會企劃執行 
年終尾牙、春酒晚會、經營者大會企劃執行 
節慶活動企劃執行(例：中秋晚會、聖誕晚會) 
公益活動企劃執行 
活動視覺設計與印刷 
活動硬體工程整合規劃"
30,"世界的歷史在翻轉與劇變著 - 
而身為行銷人，我們努力找到破口並玩轉 Marketing - 

面對渾沌的未來，你是否感到坎坷不安？
對行銷或廣告充滿想像，從不知如何前進？
在人生的十字路口中，像是失了方向的信鴿？

★ ━━━━━━━━━━━━━━━━ ★
創意，是點燃眼球的興奮劑！是感動市場的催化劑！
我們打磨創意，原自團隊在行銷Insight與數據分析的基礎
★ ━━━━━━━━━━━━━━━━ ★


如果對”多媒體”有熱情的你，趕來看以下內容～馬上聯絡我們面試

挑戰項目：

1.多媒體影音製作：進行形象影片、行銷影片，含基本燈光架設。
2.影片剪輯及片頭動畫、字幕、特效等製作。
3.與團隊合作腳本發想、企劃各類型影片內容
4. YouTube、Podcast、…等影音平台
4. 學生實習計劃！會有校方合約保障及真心想投入為優先考量

擅長工具：影片拍攝、剪輯後製、動畫特效製作之能力。熟悉Adobe Premiere、After Effects、Photoshop、Illustrator、Lightroom、操作單眼相機或攝影機拍攝。

其他條件：
1.具有美感且了解人性
2.對社群經營有興趣，喜歡跟網友做正面幽默的互動
3.大三以上、台北校區且能＊長期配合者＊優先錄取

現在就來加入我們，有更多人性化的工作彈性與三不五時的聚餐狂歡。我們也將同步提供你最實際的培訓內容：
→參與品牌或數位行銷相關的專案執行
→給予行銷、文案、品牌等教育訓練
→GA考照
→以及數位廣告培訓…等

還有 #免費占星服務喔。

// 我們期待想在創意執行上發光發想的你！ //
// 我們期待想在創意執行上發光發想的你！//
// 我們期待想在創意執行上發光發想的你！ //

【給決心前往行銷與數位行銷領域的您！】
放下教科書的那套理論吧～面對血淋淋的市場挑戰，是否充滿熱血與想像呢？來讓自己的創意與投入得到市場驗證與肯定吧！喜愛市場營銷的你，千萬別錯過進入社群領域的實習機會！

此項內容，能接觸許多不同產業的挑戰，多元領域的學習與實踐，舉凡：社群經營、廣告文案與投放、品牌運營規劃、整合行銷規劃、新市場接觸…等，都將有機會接觸與學習。本公司將栽培你成為迎接市場的行銷專才，期待你的投入與學習的決心！

一起交流吧 #台灣最大FB品牌行銷社群 ( → www.facebook.com/groups/Ustar.Marketing)"
31,"＊社群設計相關經驗優先面談，需有電繪經驗！＊

I  wanna  know 你行不行
You gonna  know 別懷疑你自己的『設計』

＊尋找一位具有創意與美感的你＊

★ ━━━━━━━━━━━━━━━━ ★
茁壯，已經不足以形容我們對未來的行動力
在全球大瘟疫的衝擊下，靈巧與堅韌會是超前行動的關鍵！
★ ━━━━━━━━━━━━━━━━ ★

世界的歷史在翻轉與劇變著 - 
而身為行銷人，我們努力找到破口並玩轉 Marketing - 

面對渾沌的未來，你是否感到坎坷不安？
對行銷或廣告充滿想像，從不知如何前進？
在人生的十字路口中，像是失了方向的信鴿？

是的！我們都是一路成長過來的行銷人。我們團隊相信決心就是改變的原動力。
在面對迷惘的未來，你要的不只是塊浮木，而是真正能改變與提早自我能力的舞台。

我們是台灣第一家原生於FB社群的品牌顧問暨廣告代理商
團隊同時經營台灣最大FB品牌行銷社群 ( → www.facebook.com/groups/Ustar.Marketing)
歡迎有志進入行銷領域的朋友，也能在這社團裡與我們交流。

同時，團隊裡的行銷總監也是2019 -2020年為國發會指派公部門社群培訓講師。
一路以來，【社群與創意發想】是我們核心項目之一！

★ ━━━━━━━━━━━━━━━━ ★
創意，是點燃眼球的興奮劑！是感動市場的催化劑！
我們打磨創意，原自團隊在行銷Insight與數據分析的基礎
★ ━━━━━━━━━━━━━━━━ ★

在FB IG 上哪裡起風，就會站在出風口留言喇勒
患有IG強迫症，版面都要整整齊齊
有事沒事就喜歡泡在Dcard刷熱門 ~ 
收集一堆meme梗圖，尤其是會下地獄那種
所以我說，你484也喜歡當PTT 潛水鄉民

做社群行銷看起來簡單但實際上真D難
你需要保有一顆喜歡與人互動的心、足夠的幽默感，還有敏略的時事洞察力
去思考如何把這些運用在經營平台上
時不時也需要與跨部門溝通，合力完成神聖的一篇貼文
透過與粉絲的互動和信賴，你會得到強烈的成就感！

如果對”社群設計 / 多媒體設計”有興趣的你，來看以下實習內容和條件～
馬上聯絡我們面試

實習內容：

1. IG,FB 創意發想、活動企劃與文案。協助品牌社群的經營，發文、回文…等 
2.能從生活中找到行銷點子 。如：各大論壇、粉專、社團等...搜集當下流行資訊、分析判斷哪些資訊適合運用在社群中
3.主管交代事項
4. 學生實習計劃！會有校方合約保障及真心想投入為優先考量

★須有擅長軟體：
Adobe Photoshop、Illustrator、…或其它影音相關

其他條件：
1.具有美感且了解人性
2.對社群經營有興趣，喜歡跟網友做正面幽默的互動
3.如果會使用Photoshop、Illustrator、簡單攝影＆剪接者加分
4.大三以上、台北校區且能＊長期配合者＊優先錄取

現在就來加入我們，有更多人性化的工作彈性與三不五時的聚餐狂歡。我們也將同步提供你最實際的培訓內容：
→參與品牌或數位行銷相關的專案執行
→給予行銷、文案、品牌等教育訓練
→GA考照
→以及數位廣告培訓…等

還有 #免費占星服務喔。

// 我們期待想在創意執行上發光發想的你！ // 
// 我們期待想在創意執行上發光發想的你！//
// 我們期待想在創意執行上發光發想的你！ // 

【給決心前往行銷與數位行銷領域的您！】
放下教科書的那套理論吧～面對血淋淋的市場挑戰，是否充滿熱血與想像呢？來讓自己的創意與投入得到市場驗證與肯定吧！喜愛市場營銷的你，千萬別錯過進入社群領域的實習機會！

此項內容，能接觸許多不同產業的挑戰，多元領域的學習與實踐，舉凡：社群經營、廣告文案與投放、品牌運營規劃、整合行銷規劃、新市場接觸…等，都將有機會接觸與學習。本公司將栽培你成為迎接市場的行銷專才，期待你的投入與學習的決心！

一起交流吧 #台灣最大FB品牌行銷社群  ( → www.facebook.com/groups/Ustar.Marketing)"
32,"【工作內容】
1.網頁端專案開發
2.網頁改版與維護 
3.參與 UI 使用流程與 API 制定

【技能需求】
1.掌握 HTML5, CSS, JavaScript(或諸如JQuery之類的套件)開發技術
2.RWD 或手機版網頁相關經驗(可使用Bootstrap等)
3.可獨立作業

【加分條件】
1.面試時請務必攜帶作品集，以能看到程式碼為主，線上作品(網頁)尤佳
2.有 ES6、Webpack 使用經驗，至少熟悉一種前端框架（Vuejs / React.js / Angular.js），並有一個以上的產品開發經驗
3.可長期配合"
33,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
34,"⦿工作內容
1.製作網站wireframe、mockup、prototype等
2.設計與製作公司形象規範、網站視覺風格
3.開發圖形、產品插圖及公司標識(Logo 設計、平面設計等)
4. 企劃書撰寫
⦿條件
1. 邏輯清楚 
2. 擅長工具：Adobe系列軟體，重要程度: illustrator>photoshop>Adobe XD或Sketch(網頁設計工具可到職後由公司內部設計師指導教學)
3. 良好的溝通能力與開朗樂意學習的人格特質
⦿透過這份實習你可以得到
1.業界工作經驗
2.參與多元的專案、累積實戰經驗與作品集，其中不乏知名企業客戶與最新科技產品研發
3. 深入了解專案開發流程與會議參與機會
4. 資深設計師軟體使用指導"
35,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
36,"礦泉水網路影片的廣告拍攝
對於電影、微電影、戲劇、廣告演出有興趣的新人演員及模特兒
能配合通告時間者佳
熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司臉書粉絲頁:https://www.facebook.com/bingfu1060?fref=ts

公司 地址：台北市中山區錦州街159號6樓之8(捷運行天宮站4號出口)
須預約面試 時間 PM 1:00~PM 9:00
外縣市也可面試、必接受在台北公司面試(工作地點以拍攝地點而定)"
37,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
38,"1.主要負責拍攝各類型網路廣告短片、商品短片、商品平面照等等... 
2.影像拍攝錄影製作，具備對攝影高度專業及拍片熱誠。 
3.拍攝前置籌備期可配合導演事先討論分鏡、鏡頭運鏡等拍攝細節，亦具有略懂燈光專業知識等等。 
4.需了解活動的特色，對活動要有一定的觀察力與敏銳度 
5.具備剪接能力(premiere為佳)，基本平面拍攝能力，及修圖能力 
6..樂於團隊合作，擅與人溝通，創意十足 
7. 如具備攝影、剪接、基本燈光專業。
8.請附上個人作品於履歷中，利於主管篩選通知面試。

https://www.wdreamcastle.com/"
39,"對於戲劇、電影、廣告、平面拍攝有興趣的新人請預約面試時間,熱烈歡迎喜愛演藝工作者，加入我們的行列！
公司地址:北市中山區錦州街159號6樓之8(捷運-行天宮4號出口)
出站後.右邊往後直走10分鐘左右.吉林路口過馬路對面 (松林大廈)
電話:02-2100-1596
臉書粉絲團: https://www.facebook.com/bingfu1060/photos_stream"
40,"1.主要負責拍攝各類型網路廣告短片、商品短片、商品平面照等等... 
2.影像拍攝錄影製作，具備對攝影高度專業及拍片熱誠。 
3.拍攝前置籌備期可配合導演事先討論分鏡、鏡頭運鏡等拍攝細節，亦具有略懂燈光專業知識等等。 
4.需了解活動的特色，對活動要有一定的觀察力與敏銳度 
5.具備剪接能力(premiere為佳)，基本平面拍攝能力，及修圖能力 
6..樂於團隊合作，擅與人溝通，創意十足 
7. 如具備攝影、剪接、基本燈光專業。
8.請附上個人作品於履歷中，利於主管篩選通知面試。

https://www.wdreamcastle.com/"
